TypeID,StationID,Type,OrderID,Price,Total,Remaining
34,60003760,"Sell",7338598822,3.99,1000000,1000000
34,60003760,"Sell",7320952546,4.17,6500000,6500000
34,60004588,"Buy",7322693313,3.1,122222222,108630213
34,60004588,"Buy",7345964713,3.26,100000000,65903180
34,60004588,"Buy",7337711788,3.25,66666666,66666666
34,60004588,"Buy",7272520236,0.06,100000000,100000000
34,60004588,"Buy",7330427945,3.15,45555555,18610552
34,60004588,"Buy",7333248446,3.16,22222222,22222222
34,60004588,"Buy",7256342604,0.05,100000000,100000000
34,60004588,"Sell",7354722582,3.88,26477640,21477640
34,60004588,"Sell",7355918716,3.55,118939,118939
34,60004588,"Sell",7356099028,4.0,25257686,25257686
34,60004588,"Sell",7342298242,4.05,6407717,6407717
34,60004588,"Sell",7337222217,4.0,114697416,114678106
34,60004588,"Sell",7246833986,4.14,119940009,30860262
34,60004588,"Sell",7338087998,3.98,20000000,9578856
34,60004588,"Sell",7333367882,4.22,5500000,5500000
34,60004588,"Sell",7337102857,4.1,10000000,9409505
34,60004588,"Sell",7354611086,3.89,459214,459214
34,60004588,"Sell",7340295373,3.95,177188371,177188371
34,60004588,"Sell",7239569086,4.22,129905197,128549149
34,60004588,"Sell",7340523673,4.8,10000000,10000000
34,60004588,"Sell",7354886557,3.75,10000000,10000000
34,60004588,"Sell",7337192902,4.0,109218769,83978769
34,60004588,"Sell",7338711416,3.95,426019271,366438057
34,60004588,"Sell",7355198933,3.55,147885466,14420225
34,60004588,"Sell",7353805108,3.9,71421161,50672620
34,60004588,"Sell",7294378098,400.0,136500,136500
34,60004588,"Sell",7340307704,3.99,41733730,41733730
34,60004588,"Sell",7354888840,3.6,10000000,8114640
34,60004588,"Sell",7342676170,4.1,18838955,18838955
34,60004588,"Sell",7352245095,4.0,16719679,16719679
34,60004588,"Sell",7335692338,4.13,41793576,32112291
34,60004588,"Sell",7338643308,3.97,1000000,420400
34,60004588,"Sell",7356095137,3.54,3470124,568082
34,60004588,"Sell",7354891452,3.8,15000000,15000000
34,60005686,"Buy",7356382147,2.14,100000000,99825026
34,60005686,"Buy",7327913929,3.25,66666666,13505425
34,60005686,"Buy",7321759428,3.15,88888888,88888888
34,60005686,"Buy",7337450814,3.3,44444444,44444444
34,60005686,"Buy",7323825540,3.16,50000000,43289387
34,60005686,"Buy",7342904573,3.45,200000000,141237141
34,60005686,"Buy",7324661122,3.4,110000000,99139478
34,60005686,"Buy",7340624293,3.32,10000000,10000000
34,60005686,"Buy",7356474080,3.46,100000000,99431573
34,60005686,"Buy",7332191948,1.45,200000000,176451385
34,60005686,"Buy",7311587352,2.95,50000000,6032366
34,60005686,"Sell",7350736190,4.0,500000000,489902333
34,60005686,"Sell",7356521578,3.7,27528,27528
34,60005686,"Sell",7355163548,3.84,12943357,4001645
34,60005686,"Sell",7336876902,4.1,441055572,285925495
34,60005686,"Sell",7333332367,4.86,82858705,69591147
34,60005686,"Sell",7347876816,3.85,55116290,25920946
34,60005686,"Sell",7354087935,5.0,1222790,1222790
34,60005686,"Sell",7338728922,4.1,262076555,262076555
34,60006499,"Buy",7348934926,1.07,250000000,184646749
34,60006499,"Buy",7350222464,1.02,13526748,13526748
34,60006499,"Buy",7322670711,0.01,1000000000,1000000000
34,60006526,"Buy",7263724251,1.25,100000000,16117879
34,60006526,"Buy",7334944374,2.18,12500000,9362786
34,60006526,"Sell",7354962747,4.66,36778889,36778889
34,60006526,"Sell",7354962445,3.98,33600080,30400554
34,60006526,"Sell",7356481955,3.97,5555555,5555555
34,60006526,"Sell",7354962658,4.18,31668889,31668889
34,60008494,"Buy",7352173753,3.32,50000000,33422867
34,60008494,"Buy",7354037292,3.31,200000000,4952379
34,60008494,"Buy",7355522286,3.2,60000000,60000000
34,60008494,"Buy",7332203481,2.24,200000000,100254779
34,60008494,"Buy",7353960885,3.29,40000000,38596131
34,60008494,"Buy",7355496843,3.15,100000000,100000000
34,60008494,"Buy",7344625078,3.07,500000000,500000000
34,60008494,"Buy",7356335357,3.38,21000000,11116960
34,60008494,"Buy",7322187065,2.07,100000000,100000000
34,60008494,"Buy",7356481204,3.0,2000000,2000000
34,60008494,"Buy",7346734295,3.07,15000000,2840626
34,60008494,"Buy",7353791119,3.32,50000000,37342091
34,60008494,"Buy",7328835687,2.5,59400000,59400000
34,60008494,"Buy",7047475698,2.78,500000000,347021445
34,60008494,"Buy",7280043378,2.79,100000000,100000000
34,60008494,"Buy",7355516675,3.1,2000000,2000000
34,60008494,"Buy",7328834459,3.0,49500000,49500000
34,60008494,"Buy",7352140608,3.06,100000000,76461434
34,60008494,"Buy",7356181378,3.33,110000000,66557788
34,60008494,"Sell",7335697875,3.89,23530700,23530700
34,60008494,"Sell",7352874421,3.51,7500000,7318111
34,60008494,"Sell",7348573094,3.88,66000000,61228867
34,60008494,"Sell",7338975662,3.89,7500000,7500000
34,60008494,"Sell",7356520841,3.39,34870594,34390594
34,60008494,"Sell",7355622736,3.55,20645013,20645013
34,60008494,"Sell",7356278895,3.5,241854897,241854897
34,60008494,"Sell",7350877410,3.64,9076133,6752117
34,60008494,"Sell",7350914294,3.64,7025068,7025068
34,60008494,"Sell",7351825313,3.62,80752277,42028896
34,60008494,"Sell",7352820022,3.55,287249878,270917836
34,60008494,"Sell",7353293912,3.5,2500,2500
34,60008494,"Sell",7354095703,3.5,127284,127284
34,60008494,"Sell",7349726666,3.91,82100000,82100000
34,60008494,"Sell",7356515166,3.48,91952126,82619126
34,60008494,"Sell",7354339863,3.49,8010945,8010945
34,60008494,"Sell",7354595434,3.55,2316819,2316819
34,60008494,"Sell",7355466955,3.5,50000000,50000000
34,60008494,"Sell",7350871158,3.65,36385,36385
34,60008494,"Sell",7352922534,3.5,6250000,422134
34,60008494,"Sell",7351984101,3.62,81154550,81154550
34,60008494,"Sell",7350530333,3.65,132545,132545
34,60008494,"Sell",7354323423,3.49,7500000,5881784
34,60008494,"Sell",7351002780,3.65,120262,120262
34,60011866,"Buy",7328324784,2.14,200000000,61844069
34,60011866,"Buy",7340784610,3.26,100000000,60808270
34,60011866,"Buy",7341225999,3.22,5000000,5000000
34,60011866,"Buy",7355479294,3.35,100000000,7560261
34,60011866,"Buy",7296636901,1.0,20000000,20000000
34,60011866,"Buy",7322217905,0.03,1000000000,1000000000
34,60011866,"Buy",7328978988,2.66,5000000,4911918
34,60011866,"Buy",7329548307,2.0,110000000,100767142
34,60011866,"Buy",7328525643,3.03,110000000,9841388
34,60011866,"Buy",7356434542,3.4,23288183,14952544
34,60011866,"Buy",7328385115,3.34,1000000000,242767837
34,60011866,"Buy",7356418726,3.35,100000000,100000000
34,60011866,"Sell",7348608573,4.37,592459,592459
34,60011866,"Sell",7356236279,3.65,58950,20550
34,60011866,"Sell",7353824111,3.87,1776754,1326918
34,60011866,"Sell",7353678054,4.0,9724475,7718607
34,60011866,"Sell",7353744625,3.9,5000000,1419132
34,60011866,"Sell",7356307285,3.66,20390174,20390174
34,60011866,"Sell",7355702972,3.73,78489043,77290243
34,60011866,"Sell",7353976104,3.84,2033472,1241688
34,60011866,"Sell",7356117658,4.19,64337270,64337270
34,60011866,"Sell",7298666870,185.0,1998,1998
34,60011866,"Sell",7356249747,3.64,5138074,2461932
34,60011866,"Sell",7353226180,4.19,28381977,27415401
34,60011866,"Sell",7335034574,4.45,250,250
34,60011866,"Sell",7353782465,3.93,542872,462872
34,60011866,"Sell",7354120533,3.82,19000000,15315796
34,60011866,"Sell",7356139941,3.68,6061112,5857725
34,60011866,"Sell",7355795777,3.7,17967724,17527549
34,60011866,"Sell",7354806538,3.81,268272,268272
34,60011866,"Sell",7356205861,3.8,62166466,62166466
34,60011866,"Sell",7356471011,3.44,53301468,46921766
34,60011866,"Sell",7353663940,4.18,5504417,4980567
34,60011866,"Sell",7356469130,3.45,109435575,109435575
34,60011866,"Sell",7353847184,3.86,873967,873967
34,60011866,"Sell",7352210117,4.35,277586348,277586348
34,60011866,"Sell",7354807491,3.75,1322653,889971
34,60011866,"Sell",7354757383,3.84,783804,783804
34,60011866,"Sell",7354482100,3.83,61981,61981
34,60011866,"Sell",7353883748,3.85,6684484,6684308
34,60011866,"Sell",7354734767,3.8,1154476,190476
34,60011866,"Sell",7354114166,3.83,13000000,12915106
34,60015131,"Sell",7327400713,3.98,2487187,138811
34,1033196707294,"Buy",7282314846,0.41,111111111,18274985
35,60001096,"Buy",7295603699,7.11,50000000,50000000
35,60001096,"Buy",7338140818,13.88,7788989,7380656
35,60001096,"Buy",7295922203,0.01,2147483647,2147483647
35,60001096,"Buy",7349991955,13.9,8000000,7965258
35,60001096,"Sell",7254755554,17.88,22334445,16374741
35,60001096,"Sell",7304767433,21.2,21889998,21889998
35,60001096,"Sell",7341864645,18.2,21112223,21112203
35,60003760,"Buy",7354492525,18.5,50000,50000
35,60003760,"Buy",7323506084,7.11,200000000,200000000
35,60003760,"Buy",7336724184,16.59,4755444,4755327
35,60003760,"Buy",7290967149,15.51,4000000,3939090
35,60003760,"Buy",7328651261,16.26,50000000,50000000
35,60003760,"Buy",7325692439,16.24,100000000,100000000
35,60003760,"Buy",7336731389,16.6,20000000,19999010
35,60003760,"Buy",7338978993,17.21,5000000,5000000
35,60003760,"Buy",7352348482,18.1,99999,99999
35,60003760,"Buy",7338894594,17.15,10000000,10000000
35,60003760,"Buy",7304420111,3.27,50000000,50000000
35,60003760,"Buy",7346123906,17.68,250000000,48361663
35,60003760,"Buy",7291602236,16.02,2000000,2000000
35,60003760,"Buy",7255587532,3.29,50000000,16303942
35,60003760,"Buy",7322772436,11.4,10000000,10000000
35,60003760,"Buy",7346035079,17.62,50000000,49999945
35,60003760,"Buy",7352489803,18.13,1000000,1000000
35,60003760,"Buy",7347450332,17.75,5000000,4981458
35,60003760,"Buy",7335790281,16.43,50000000,45757185
35,60003760,"Buy",7337214274,16.55,50000000,50000000
35,60003760,"Buy",7350073344,17.85,10000000,10000000
35,60003760,"Buy",7336019355,16.45,5000000,5000000
35,60003760,"Buy",7347684939,17.83,10000000,10000000
35,60003760,"Buy",7352090080,17.98,500000,500000
35,60003760,"Buy",7343260210,11.3,10000000,9998700
35,60003760,"Buy",7323506837,3.29,200000000,200000000
35,60003760,"Buy",7336858938,16.81,1000000,1000000
35,60003760,"Buy",7355607840,18.0,20000000,20000000
35,60003760,"Buy",7326384061,14.03,5000000,4885126
35,60003760,"Buy",7275449586,7.0,20000000,20000000
35,60003760,"Buy",7237449522,15.0,15000000,15000000
35,60003760,"Buy",7335659467,17.43,25000000,2578406
35,60003760,"Buy",7335703203,0.01,1000000000,1000000000
35,60003760,"Buy",7337127825,16.92,99000000,98744652
35,60003760,"Buy",7354328318,18.71,10000000,10000000
35,60003760,"Buy",7323637913,16.25,100000000,100000000
35,60003760,"Buy",7355809096,17.02,20000000,20000000
35,60003760,"Buy",7351972394,17.96,10000000,10000000
35,60003760,"Buy",7326539752,15.99,100000,100000
35,60003760,"Buy",7346130877,17.0,50000000,50000000
35,60003760,"Buy",7338894818,16.97,10000000,10000000
35,60003760,"Buy",7336232479,16.95,30000000,29994512
35,60003760,"Buy",7338882447,17.11,5000000,5000000
35,60003760,"Buy",7323505291,8.0,100000000,100000000
35,60003760,"Buy",7338894990,16.8,10000000,10000000
35,60003760,"Sell",7331705652,22.69,126930881,126930881
35,60003760,"Sell",7354457795,19.51,427582,427582
35,60003760,"Sell",7354471142,19.49,898420770,361041523
35,60003760,"Sell",7355004519,19.46,70000000,45488464
35,60003760,"Sell",7356364349,19.32,650000000,634467634
35,60003760,"Sell",7354930498,19.68,2568068,2568068
35,60003760,"Sell",7342338580,20.0,100,100
35,60003760,"Sell",7356509769,19.31,67000000,67000000
35,60003760,"Sell",7298238692,20.0,728258,728258
35,60003760,"Sell",7355087454,19.38,50000000,49312742
35,60003760,"Sell",7351767625,20.37,356,356
35,60003760,"Sell",7355014626,19.45,73748381,52025445
35,60003760,"Sell",7355112904,19.35,40145889,24159924
35,60003760,"Sell",7317609195,34.0,100000,100000
35,60003760,"Sell",7307236862,28.0,40431768,40431768
35,60003760,"Sell",7355026867,19.43,80000000,69697699
35,60003760,"Sell",7354459639,19.5,116739,116739
35,60003760,"Sell",7355107912,19.36,50000000,45962818
35,60003760,"Sell",7337986722,758.0,276,276
35,60003760,"Sell",7355316072,20.0,11704,11704
35,60003760,"Sell",7343503916,19.72,32275,32275
35,60003760,"Sell",7296525875,21.5,80000000,80000000
35,60003760,"Sell",7349675695,19.62,22000000,22000000
35,60003760,"Sell",7355059927,19.41,4020371,4020371
35,60003760,"Sell",7356358879,19.33,28338388,22230669
35,60003760,"Sell",7296693098,25.3,55000000,55000000
35,60003760,"Sell",7354447513,19.53,20000000,19999556
35,60003760,"Sell",7354690836,19.67,7150210,7150210
35,60003760,"Sell",7355711424,19.42,154000,154000
35,60003760,"Sell",7318031645,34.55,35848321,35848321
35,60003760,"Sell",7354455960,19.5,479895,479895
35,60003760,"Sell",7356374174,19.31,58444019,3238197
35,60003760,"Sell",7356302083,19.34,495198334,420046967
35,60003760,"Sell",7325687146,20.89,5376049,5376049
35,60003760,"Sell",7311239243,19.55,52768249,32677376
35,60003760,"Sell",7351680038,20.0,6651373,6651373
35,60003760,"Sell",7307236992,33.0,43000000,43000000
35,60003760,"Sell",7315309737,27.41,12470,12470
35,60003760,"Sell",7331850117,19.99,30000000,30000000
35,60003760,"Sell",7309256752,19.99,15549,15549
35,60003760,"Sell",7334375042,19.63,517519,517519
35,60003760,"Sell",7355708521,19.42,2289619,2289619
35,60003760,"Sell",7355073683,19.41,8073773,8073773
35,60003760,"Sell",7355046115,19.41,50000000,12552434
35,60003760,"Sell",7356158856,19.46,1924013,1924013
35,60003760,"Sell",7340634762,22.8,87,87
35,60004588,"Buy",7351831738,15.0,1000000,1000000
35,60004588,"Buy",7331822184,15.0,1000000,1000000
35,60004588,"Buy",7327475631,13.02,2000000,1598808
35,60004588,"Buy",7329091404,13.27,100000,21316
35,60004588,"Buy",7332212336,14.0,45555555,45555555
35,60004588,"Buy",7327287555,13.0,34444444,34432222
35,60004588,"Buy",7353045306,0.01,88888888,88888888
35,60004588,"Buy",7256342658,0.05,100000000,100000000
35,60004588,"Buy",7325868990,7.36,10000000,9919010
35,60004588,"Buy",7272520330,0.06,10000000,10000000
35,60004588,"Sell",7297110204,18.39,72000035,22152409
35,60004588,"Sell",7230264264,23.12,53543333,34289221
