"TypeID","StationID","Type","High","Low","Average"
393,60005686,"Sell",48560,44800,45413.4
393,60008494,"Buy",6613,6608,6612.99273255814
393,60008494,"Sell",66610,66600,66609.8527443106
393,60011866,"Buy",25.01,25,25.0099211053264
393,60011866,"Sell",21400,18840,21106.3418530351
564,60003760,"Buy",13280,1518,9394.26925370396
564,60003760,"Sell",45000,44710,44951.0239361702
564,60004588,"Buy",1100,1100,1100
564,60004588,"Sell",64000,64000,64000
564,60005686,"Buy",3602,0.02,474.626654726044
564,60005686,"Sell",59000,42000,52289.8716707022
564,60008494,"Buy",25000,15640,24354.9860248447
564,60008494,"Sell",199700,44750,129382.010371651
564,60011866,"Buy",25000,10080,10241.9958563536
564,60011866,"Sell",42660,42650,42659.0909090909
564,60015131,"Sell",500000,500000,500000
565,60003760,"Buy",7056,1004,3110.14775323686
565,60003760,"Sell",74740,15600,37141.3676042677
565,60004588,"Buy",1800,1800,1800
565,60004588,"Sell",145000,145000,145000
565,60005686,"Sell",40000,40000,40000
565,60008494,"Buy",1247,1246,1246.09708737864
565,60008494,"Sell",78000,58990,75660.6306306306
565,60011866,"Buy",13110,12170,12535.476519337
565,60011866,"Sell",248000,66820,126972.470784641
568,60003760,"Buy",225500,113700,146409.308072488
568,60003760,"Sell",493300,339900,410705.359147026
568,60004588,"Buy",10,10,10
568,60004588,"Sell",450100,449400,449973.770491803
568,60005686,"Sell",328800,328700,328781.617647059
568,60008494,"Buy",199600,199600,199600
568,60008494,"Sell",349800000,347400,37625700
568,60011866,"Buy",5003,265,703.015526398001
568,60011866,"Sell",238200,238200,238200
568,60015131,"Buy",210000,210000,210000
570,60003760,"Buy",63200,41000,56286.3362541073
570,60003760,"Sell",648000,199800,231648.387096774
570,60004588,"Buy",10,10,10
570,60005686,"Buy",250000,250000,250000
570,60008494,"Buy",2116,1175,1808.56878850103
570,60008494,"Sell",249500,200000,248089.959839357
570,60011866,"Buy",200100,159300,195470.212765957
570,60011866,"Sell",700000,476000,504304.678362573
578,60003760,"Buy",109300,78770,94236.7129977461
578,60003760,"Sell",475300,170800,296456.075533662
578,60004588,"Buy",27890,27890,27890
578,60004588,"Sell",198600,183500,187608.658008658
578,60005686,"Buy",73660,64170,71378.4638109306
578,60005686,"Sell",200000,187000,188463.657407407
578,60006499,"Sell",276800,276800,276800
578,60008494,"Buy",101500,27770,81427.1915103653
578,60008494,"Sell",249900,249900,249900
578,60011866,"Buy",91030,80800,90049.6757591354
578,60011866,"Sell",212400,177900,207774.098360656
578,1032717532381,"Buy",7008,7008,7008
591,60001096,"Sell",475000,370100,405066.666666667
591,60003760,"Buy",352900,0.02,11.657566648194
591,60003760,"Sell",1400000,494000,630557.844990548
591,60004588,"Buy",300000,300000,300000
591,60004588,"Sell",625000,489700,505940.625
591,60005686,"Buy",52880,50860,51298.2692307692
591,60005686,"Sell",20060000,480000,1101376.17554859
591,60008494,"Buy",280300,86000,112038.698630137
591,60008494,"Sell",3501000,420500,459479.487179487
591,60011866,"Buy",211000,211000,211000
591,60011866,"Sell",899700,571200,805004.330708661
593,60003760,"Buy",526400,0.02,29.8135103829106
593,60003760,"Sell",933700,600000,731039.593188269
593,60004588,"Buy",222600,220300,221487.096774194
593,60004588,"Sell",889900000,660000,2893995.7605985
593,60005686,"Buy",46010,45330,45879.2307692308
593,60005686,"Sell",999900,575000,874961.445783133
593,60008494,"Buy",454300,36000,203639.61352657
593,60008494,"Sell",889900000,564900,1907318.31610044
593,60011866,"Buy",322100,90000,299834.019047619
593,60011866,"Sell",889900000,574000,2236346.79376083
603,60001096,"Buy",2000,2000,2000
603,60003760,"Buy",88260,0.02,33.1589020796516
603,60003760,"Sell",2500000,145000,259201.920529801
603,60004588,"Sell",595000,390000,515533.333333333
603,60005686,"Buy",45490,45000,45140.1459854015
603,60005686,"Sell",999900,238500,640998.393194707
603,60006526,"Sell",250100,250100,250100
603,60008494,"Buy",100200,22000,47167.6237623762
603,60008494,"Sell",474700,153500,227346.181172291
603,60011866,"Buy",85010,0.01,87.718447859949
603,60011866,"Sell",750000,240000,330704
603,60015131,"Sell",270000,270000,270000
607,60001096,"Sell",600000,600000,600000
607,60003760,"Buy",363900,0.02,5.91747644416223
607,60003760,"Sell",950000,511000,787798.813677599
607,60004588,"Buy",115000,115000,115000
607,60004588,"Sell",650000,543000,575838.356164384
607,60005686,"Sell",998800,499700,701054.800936768
607,60008494,"Buy",324300,50020,184013.825042882
607,60008494,"Sell",990000,595000,609301.791044776
607,60011866,"Buy",202000,131000,151489.189189189
607,60011866,"Sell",889900000,524700,2710408.58468677
608,60003760,"Buy",370800,0.02,24.2995244049087
608,60003760,"Sell",670000,622400,623907.799442897
608,60004588,"Buy",401300,401200,401244.117647059
608,60004588,"Sell",656700,618700,623168.72246696
608,60005686,"Buy",500000,108000,482956.52173913
608,60005686,"Sell",999300,547800,776650.470219436
